"subject" "activity"
"1" 1 "walking"
"2" 1 "standing"
"3" 1 "standing"
"4" 1 "standing"
"5" 1 "standing"
"6" 1 "standing"
"7" 1 "standing"
"8" 1 "standing"
"9" 1 "standing"
"10" 1 "standing"
"11" 1 "standing"
"12" 1 "standing"
"13" 1 "standing"
"14" 1 "standing"
"15" 1 "standing"
"16" 1 "standing"
"17" 1 "standing"
"18" 1 "standing"
"19" 1 "standing"
"20" 1 "standing"
"21" 1 "standing"
"22" 1 "standing"
"23" 1 "standing"
"24" 1 "standing"
"25" 1 "standing"
"26" 1 "standing"
"27" 1 "standing"
"28" 1 "sitting"
"29" 1 "sitting"
"30" 1 "sitting"
"31" 1 "sitting"
"32" 1 "sitting"
"33" 1 "sitting"
"34" 1 "sitting"
"35" 1 "sitting"
"36" 1 "sitting"
"37" 1 "sitting"
"38" 1 "sitting"
"39" 1 "sitting"
"40" 1 "sitting"
"41" 1 "sitting"
"42" 1 "sitting"
"43" 1 "sitting"
"44" 1 "sitting"
"45" 1 "sitting"
"46" 1 "sitting"
"47" 1 "sitting"
"48" 1 "sitting"
"49" 1 "sitting"
"50" 1 "sitting"
"51" 1 "sitting"
"52" 1 "laying"
"53" 1 "laying"
"54" 1 "laying"
"55" 1 "laying"
"56" 1 "laying"
"57" 1 "laying"
"58" 1 "laying"
"59" 1 "laying"
"60" 1 "laying"
"61" 1 "laying"
"62" 1 "laying"
"63" 1 "laying"
"64" 1 "laying"
"65" 1 "laying"
"66" 1 "laying"
"67" 1 "laying"
"68" 1 "laying"
"69" 1 "laying"
"70" 1 "laying"
"71" 1 "laying"
"72" 1 "laying"
"73" 1 "laying"
"74" 1 "laying"
"75" 1 "laying"
"76" 1 "laying"
"77" 1 "laying"
"78" 1 "laying"
"79" 1 "walking"
"80" 1 "walking"
"81" 1 "walking"
"82" 1 "walking"
"83" 1 "walking"
"84" 1 "walking"
"85" 1 "walking"
"86" 1 "walking"
"87" 1 "walking"
"88" 1 "walking"
"89" 1 "walking"
"90" 1 "walking"
"91" 1 "walking"
"92" 1 "walking"
"93" 1 "walking"
"94" 1 "walking"
"95" 1 "walking"
"96" 1 "walking"
"97" 1 "walking"
"98" 1 "walking"
"99" 1 "walking"
"100" 1 "walking"
"101" 1 "walking"
"102" 1 "walking"
"103" 1 "walking"
"104" 1 "walking"
"105" 1 "walking"
"106" 1 "walking"
"107" 1 "walking"
"108" 1 "walking"
"109" 1 "walking"
"110" 1 "walking"
"111" 1 "walking"
"112" 1 "walking"
"113" 1 "walking"
"114" 1 "walking"
"115" 1 "walking"
"116" 1 "walking"
"117" 1 "walking"
"118" 1 "walking"
"119" 1 "walking"
"120" 1 "walking"
"121" 1 "walking"
"122" 1 "walking"
"123" 1 "walking"
"124" 1 "walking"
"125" 1 "walking"
"126" 1 "walkingdownstairs"
"127" 1 "walkingdownstairs"
"128" 1 "walkingdownstairs"
"129" 1 "walkingdownstairs"
"130" 1 "walkingdownstairs"
"131" 1 "walkingdownstairs"
"132" 1 "walkingdownstairs"
"133" 1 "walkingdownstairs"
"134" 1 "walkingdownstairs"
"135" 1 "walkingdownstairs"
"136" 1 "walkingdownstairs"
"137" 1 "walkingdownstairs"
"138" 1 "walkingdownstairs"
"139" 1 "walkingdownstairs"
"140" 1 "walkingdownstairs"
"141" 1 "walkingdownstairs"
"142" 1 "walkingdownstairs"
"143" 1 "walkingdownstairs"
"144" 1 "walkingdownstairs"
"145" 1 "walkingdownstairs"
"146" 1 "walkingdownstairs"
"147" 1 "walkingdownstairs"
"148" 1 "walkingdownstairs"
"149" 1 "walkingdownstairs"
"150" 1 "walkingdownstairs"
"151" 1 "walkingupstairs"
"152" 1 "walkingupstairs"
"153" 1 "walkingupstairs"
"154" 1 "walkingupstairs"
"155" 1 "walkingupstairs"
"156" 1 "walkingupstairs"
"157" 1 "walkingupstairs"
"158" 1 "walkingupstairs"
"159" 1 "walkingupstairs"
"160" 1 "walkingupstairs"
"161" 1 "walkingupstairs"
"162" 1 "walkingupstairs"
"163" 1 "walkingupstairs"
"164" 1 "walkingupstairs"
"165" 1 "walkingupstairs"
"166" 1 "walkingupstairs"
"167" 1 "walkingupstairs"
"168" 1 "walkingupstairs"
"169" 1 "walkingupstairs"
"170" 1 "walkingupstairs"
"171" 1 "walkingupstairs"
"172" 1 "walkingupstairs"
"173" 1 "walkingupstairs"
"174" 1 "walkingupstairs"
"175" 1 "walkingupstairs"
"176" 1 "walkingupstairs"
"177" 1 "standing"
"178" 1 "standing"
"179" 1 "standing"
"180" 1 "standing"
